comanda,data
BCN001A,2023-01-01
BCN002B,2023-01-02
BCN003C,2023-01-03
BCN004D,2023-01-04
BCN005E,2023-01-05
BCN006F,2023-01-06
BCN007G,2023-01-07
BCN008H,2023-01-08
BCN009I,2023-01-09
BCN010J,2023-01-10
BCN011K,2023-01-11
BCN012L,2023-01-12
BCN013M,2023-01-13
BCN014N,2023-01-14
BCN015O,2023-01-15
BCN016P,2023-01-16
BCN017Q,2023-01-17
BCN018R,2023-01-18
BCN019S,2023-01-19
BCN020T,2023-01-20
BCN021U,2023-01-21
BCN022V,2023-01-22
BCN023W,2023-01-23
BCN024X,2023-01-24
BCN025Y,2023-01-25
BCN026Z,2023-01-26
BCN027A,2023-01-27
BCN028B,2023-01-28
BCN029C,2023-01-29
VIC030D,2023-01-30
VIC031E,2023-01-31
VIC032F,2023-02-01
VIC033G,2023-02-02
VIC034H,2023-02-03
VIC035I,2023-02-04
VIC036J,2023-02-05
VIC037K,2023-02-06
VIC038L,2023-02-07
VIC039M,2023-02-08
VIC040N,2023-02-09
VIC041O,2023-02-10
VIC042P,2023-02-11
VIC043Q,2023-02-12
VIC044R,2023-02-13
VIC045S,2023-02-14
VIC046T,2023-02-15
VIC047U,2023-02-16
VIC048V,2023-02-17
VIC049W,2023-02-18
VIC050X,2023-02-19
VIC051Y,2023-02-20
VIC052Z,2023-02-21
VIC053A,2023-02-22
VIC054B,2023-02-23
VIC055C,2023-02-24
VIC056D,2023-02-25
VIC057E,2023-02-26
VIC058F,2023-02-27
MAD059G,2023-02-28
MAD060H,2023-03-01
MAD061I,2023-03-02
MAD062J,2023-03-03
MAD063K,2023-03-04
MAD064L,2023-03-05
MAD065M,2023-03-06
MAD066N,2023-03-07
MAD067O,2023-03-08
MAD068P,2023-03-09
MAD069Q,2023-03-10
MAD070R,2023-03-11
MAD071S,2023-03-12
MAD072T,2023-03-13
MAD073U,2023-03-14
MAD074V,2023-03-15
MAD075W,2023-03-16
MAD076X,2023-03-17
MAD077Y,2023-03-18
MAD078Z,2023-03-19
MAD079A,2023-03-20
MAD080B,2023-03-21
MAD081C,2023-03-22
MAD082D,2023-03-23
MAD083E,2023-03-24
MAD084F,2023-03-25
MAD085G,2023-03-26
MAD086H,2023-03-27
MAD087I,2023-03-28
VAL088J,2023-03-29
VAL089K,2023-03-30
VAL090L,2023-03-31
VAL091M,2023-04-01
VAL092N,2023-04-02
VAL093O,2023-04-03
VAL094P,2023-04-04
VAL095Q,2023-04-05
VAL096R,2023-04-06
VAL097S,2023-04-07
VAL098T,2023-04-08
VAL099U,2023-04-09
VAL100A,2023-04-10
